Sample,Host,Isolate,Timepoint,Total_Reads,Uniquely_Mapped,Uniquely_Mapped_Pct,Multi_Mapped_Pct,Unmapped_TooShort_Pct,Unmapped_Other_Pct,Chimeric_Pct
0_1_Ha_NC,Sunflower,NC,0,35633968,32672813,91.69,7.87,0.38,0,0
0_2_Ha_NC,Sunflower,NC,0,35170197,32278620,91.78,7.81,0.35,0,0
0_3_Ha_NC,Sunflower,NC,0,33296290,30440453,91.42,8.03,0.46,0,0
0_4_Ha_NC,Sunflower,NC,0,27552596,25264635,91.7,7.86,0.38,0,0
24_1_Ha_BN172,Sunflower,BN172,24,24681641,22493940,91.14,8.11,0.65,0,0
24_1_Ha_JS659,Sunflower,JS659,24,37916350,35040775,92.42,7.36,0.2,0,0
24_1_Ha_MNSS6,Sunflower,MNSS6,24,43525606,40253529,92.48,7.29,0.21,0,0
24_1_Ha_SSPotter,Sunflower,SSPotter,24,35423216,32782397,92.54,7.22,0.21,0,0
24_1_Ha_WISS47,Sunflower,WISS47,24,37433816,34777637,92.9,6.83,0.25,0,0
24_1_Ha_Xtra7,Sunflower,Xtra7,24,36969986,34165467,92.41,7.35,0.21,0,0
24_2_Ha_BN172,Sunflower,BN172,24,28707972,25562371,89.04,9.33,1.25,0,0
24_2_Ha_JS659,Sunflower,JS659,24,33390243,30844596,92.38,7.38,0.22,0,0
24_2_Ha_MNSS6,Sunflower,MNSS6,24,40484040,37449523,92.5,7.27,0.2,0,0
24_2_Ha_SSPotter,Sunflower,SSPotter,24,40148806,37182781,92.61,7.18,0.19,0,0
24_2_Ha_WISS47,Sunflower,WISS47,24,38476450,35799384,93.04,6.71,0.23,0,0
24_3_Ha_BN172,Sunflower,BN172,24,38575052,35545854,92.15,7.47,0.33,0,0
24_3_Ha_JS659,Sunflower,JS659,24,40975637,37970085,92.67,7.13,0.18,0,0
24_3_Ha_MNSS6,Sunflower,MNSS6,24,30582926,28212567,92.25,7.44,0.27,0,0
24_3_Ha_SSPotter,Sunflower,SSPotter,24,37786679,34897195,92.35,7.35,0.26,0,0
24_3_Ha_WISS47,Sunflower,WISS47,24,38644508,35832409,92.72,6.98,0.28,0,0
24_3_Ha_Xtra7,Sunflower,Xtra7,24,36309792,33552005,92.4,7.35,0.22,0,0
48_1_Ha_BN172,Sunflower,BN172,48,37140940,34311545,92.38,7.38,0.21,0,0
48_1_Ha_JS659,Sunflower,JS659,48,39236191,36432457,92.85,6.97,0.16,0,0
48_1_Ha_SSPotter,Sunflower,SSPotter,48,43620990,40351886,92.51,7.19,0.27,0,0
48_1_Ha_WISS47,Sunflower,WISS47,48,34718094,31863869,91.78,7.85,0.32,0,0
48_1_Ha_Xtra7,Sunflower,Xtra7,48,45922059,42417006,92.37,7.41,0.2,0,0
48_2_Ha_BN172,Sunflower,BN172,48,36478864,32792740,89.9,8.96,0.89,0,0
48_2_Ha_JS659,Sunflower,JS659,48,39851377,36931339,92.67,7.14,0.17,0,0
48_2_Ha_MNSS6,Sunflower,MNSS6,48,47727863,44183484,92.57,7.18,0.22,0,0
48_2_Ha_SSPotter,Sunflower,SSPotter,48,33403356,30934366,92.61,7.16,0.2,0,0
48_2_Ha_WISS47,Sunflower,WISS47,48,47454457,43725556,92.14,7.61,0.22,0,0
48_2_Ha_Xtra7,Sunflower,Xtra7,48,38072211,35130998,92.27,7.48,0.22,0,0
48_3_Ha_BN172,Sunflower,BN172,48,37673216,34765405,92.28,7.46,0.23,0,0
48_3_Ha_JS659,Sunflower,JS659,48,39443413,36519902,92.59,7.18,0.2,0,0
48_3_Ha_MNSS6,Sunflower,MNSS6,48,36456501,33716288,92.48,7.25,0.24,0,0
48_3_Ha_SSPotter,Sunflower,SSPotter,48,30895262,28780016,93.15,6.68,0.15,0,0
48_3_Ha_WISS47,Sunflower,WISS47,48,40449380,37308259,92.23,7.54,0.2,0,0
48_3_Ha_Xtra7,Sunflower,Xtra7,48,31926228,29726978,93.11,6.77,0.09,0,0
96_1_Ha_BN172,Sunflower,BN172,96,34855317,31943562,91.65,7.97,0.35,0,0
96_1_Ha_JS659,Sunflower,JS659,96,38287396,35451689,92.59,7.17,0.21,0,0
96_1_Ha_MNSS6,Sunflower,MNSS6,96,34240133,31353425,91.57,8,0.39,0,0
96_1_Ha_SSPotter,Sunflower,SSPotter,96,40571182,37243866,91.8,7.67,0.48,0,0
96_1_Ha_WISS47,Sunflower,WISS47,96,28255909,26158118,92.58,7.11,0.27,0,0
96_1_Ha_Xtra7,Sunflower,Xtra7,96,36995057,34153509,92.32,7.46,0.2,0,0
96_2_Ha_BN172,Sunflower,BN172,96,32086909,29478362,91.87,7.84,0.26,0,0
96_2_Ha_JS659,Sunflower,JS659,96,32598793,30216173,92.69,7.07,0.21,0,0
96_2_Ha_MNSS6,Sunflower,MNSS6,96,40799638,37363915,91.58,7.99,0.38,0,0
96_2_Ha_SSPotter,Sunflower,SSPotter,96,40977043,37713629,92.04,7.57,0.35,0,0
96_2_Ha_WISS47,Sunflower,WISS47,96,33203908,30611239,92.19,7.37,0.39,0,0
96_2_Ha_Xtra7,Sunflower,Xtra7,96,39374911,36352541,92.32,7.47,0.19,0,0
96_3_Ha_BN172,Sunflower,BN172,96,32017147,29335363,91.62,8.01,0.32,0,0
96_3_Ha_JS659,Sunflower,JS659,96,34718617,32170659,92.66,7.11,0.2,0,0
96_3_Ha_MNSS6,Sunflower,MNSS6,96,39750054,36427835,91.64,7.94,0.37,0,0
96_3_Ha_SSPotter,Sunflower,SSPotter,96,36126244,33216504,91.95,7.67,0.35,0,0
96_3_Ha_WISS47,Sunflower,WISS47,96,35752730,32888435,91.99,7.48,0.45,0,0
96_3_Ha_Xtra7,Sunflower,Xtra7,96,29549683,27260294,92.25,7.53,0.2,0,0
0_1_Gm_NC,Soybean,NC,0,34409027,32172782,93.5,6.32,0.02,0.13,0
0_2_Gm_NC,Soybean,NC,0,33499826,31343392,93.56,6.27,0.02,0.12,0
0_3_Gm_NC,Soybean,NC,0,34227439,31774544,92.83,6.76,0.02,0.31,0
0_5_Gm_NC,Soybean,NC,0,35992044,33686255,93.59,6.34,0.03,0.03,0
24_1_Gm_BN172,Soybean,BN172,24,39126521,36713920,93.83,5.97,0.03,0.13,0
24_1_Gm_JS659,Soybean,JS659,24,40890507,38055754,93.07,6.72,0.03,0.15,0
24_1_Gm_MNSS6,Soybean,MNSS6,24,38573057,35912784,93.1,6.72,0.04,0.11,0
24_1_Gm_SSPotter,Soybean,SSPotter,24,37081769,34759151,93.74,6.09,0.02,0.12,0
24_1_Gm_WISS47,Soybean,WISS47,24,39630329,36834519,92.95,6.73,0.14,0.14,0
24_1_Gm_Xtra7,Soybean,Xtra7,24,39374999,36725547,93.27,6.52,0.02,0.15,0
24_2_Gm_BN172,Soybean,BN172,24,37572307,35227291,93.76,6.03,0.03,0.15,0
24_2_Gm_JS659,Soybean,JS659,24,45609735,42406486,92.98,6.77,0.03,0.18,0
24_2_Gm_MNSS6,Soybean,MNSS6,24,39099052,36433228,93.18,6.66,0.04,0.1,0
24_2_Gm_SSPotter,Soybean,SSPotter,24,37791984,35416488,93.71,6.12,0.03,0.11,0
24_2_Gm_WISS47,Soybean,WISS47,24,39225002,36465669,92.97,6.7,0.15,0.14,0
24_2_Gm_Xtra7,Soybean,Xtra7,24,40684872,37905667,93.17,6.59,0.02,0.17,0
24_3_Gm_BN172,Soybean,BN172,24,43625666,40878918,93.7,6.04,0.03,0.19,0
24_3_Gm_JS659,Soybean,JS659,24,38525345,35941831,93.29,6.54,0.03,0.11,0
24_3_Gm_MNSS6,Soybean,MNSS6,24,39203035,36425851,92.92,6.84,0.03,0.17,0
24_3_Gm_SSPotter,Soybean,SSPotter,24,38468823,36002795,93.59,6.23,0.03,0.12,0
24_3_Gm_WISS47,Soybean,WISS47,24,38474189,35713232,92.82,6.8,0.15,0.18,0
24_3_Gm_Xtra7,Soybean,Xtra7,24,38605436,35958927,93.14,6.62,0.02,0.17,0
48_1_Gm_BN172,Soybean,BN172,48,34861189,32650081,93.66,6.1,0.05,0.15,0
48_1_Gm_JS659,Soybean,JS659,48,43156053,40179447,93.1,6.67,0.05,0.14,0
48_1_Gm_MNSS6,Soybean,MNSS6,48,36371694,33967916,93.39,6.34,0.07,0.17,0
48_1_Gm_SSPotter,Soybean,SSPotter,48,34138947,31959570,93.62,6.12,0.03,0.18,0
48_1_Gm_WISS47,Soybean,WISS47,48,35656749,33076064,92.76,6.93,0.17,0.1,0
48_1_Gm_Xtra7,Soybean,Xtra7,48,33661196,31487241,93.54,6.23,0.1,0.11,0
48_2_Gm_BN172,Soybean,BN172,48,36348302,33962346,93.44,6.29,0.04,0.19,0
48_2_Gm_JS659,Soybean,JS659,48,38102267,35490688,93.15,6.6,0.05,0.16,0
48_2_Gm_MNSS6,Soybean,MNSS6,48,37307698,34826529,93.35,6.37,0.06,0.18,0
48_2_Gm_SSPotter,Soybean,SSPotter,48,47802601,44631596,93.37,6.3,0.03,0.24,0
48_2_Gm_WISS47,Soybean,WISS47,48,35872290,33135242,92.37,7.23,0.17,0.18,0
48_2_Gm_Xtra7,Soybean,Xtra7,48,36355437,33947580,93.38,6.37,0.11,0.11,0
48_3_Gm_BN172,Soybean,BN172,48,34160274,31969419,93.59,6.15,0.04,0.18,0
48_3_Gm_JS659,Soybean,JS659,48,36108757,33671746,93.25,6.51,0.05,0.14,0
48_3_Gm_MNSS6,Soybean,MNSS6,48,35556182,33081865,93.04,6.6,0.06,0.25,0
48_3_Gm_SSPotter,Soybean,SSPotter,48,36606126,34214854,93.47,6.2,0.03,0.24,0
48_3_Gm_WISS47,Soybean,WISS47,48,38347494,35393004,92.3,7.27,0.16,0.22,0
48_3_Gm_Xtra7,Soybean,Xtra7,48,42628800,39790318,93.34,6.36,0.11,0.15,0
96_1_Gm_BN172,Soybean,BN172,96,38899777,36408955,93.6,6.2,0.06,0.11,0
96_1_Gm_SSPotter,Soybean,SSPotter,96,37063929,34645852,93.48,6.34,0.03,0.12,0
96_2_Gm_BN172,Soybean,BN172,96,37208573,34850055,93.66,6.14,0.05,0.11,0
96_2_Gm_SSPotter,Soybean,SSPotter,96,35313291,32902392,93.17,6.58,0.03,0.17,0
96_3_Gm_BN172,Soybean,BN172,96,37246138,34918121,93.75,6.05,0.06,0.11,0
96_3_Gm_SSPotter,Soybean,SSPotter,96,37259682,34700853,93.13,6.63,0.03,0.17,0
96_4_Gm_BN172,Soybean,BN172,96,50524100,47192363,93.41,6.44,0.05,0.08,0
96_4_Gm_JS659,Soybean,JS659,96,44285848,41442455,93.58,6.27,0.06,0.07,0
96_4_Gm_MNSS6,Soybean,MNSS6,96,46633277,43456830,93.19,6.63,0.04,0.11,0
96_4_Gm_SSPotter,Soybean,SSPotter,96,35795666,33568106,93.78,6.03,0.03,0.13,0
96_4_Gm_WISS47,Soybean,WISS47,96,36899865,34545721,93.62,6.2,0.05,0.1,0
96_4_Gm_Xtra7,Soybean,Xtra7,96,38368960,36009955,93.85,5.99,0.04,0.09,0
96_5_Gm_BN172,Soybean,BN172,96,49495562,46303029,93.55,6.31,0.05,0.08,0
96_5_Gm_JS659,Soybean,JS659,96,41372263,38628692,93.37,6.46,0.06,0.09,0
96_5_Gm_MNSS6,Soybean,MNSS6,96,45131698,42010932,93.09,6.7,0.04,0.14,0
96_5_Gm_SSPotter,Soybean,SSPotter,96,31885635,29854177,93.63,6.14,0.03,0.16,0
96_5_Gm_WISS47,Soybean,WISS47,96,36783696,34443919,93.64,6.18,0.05,0.11,0
96_5_Gm_Xtra7,Soybean,Xtra7,96,41810985,39215948,93.79,6.04,0.04,0.1,0
96_6_Gm_BN172,Soybean,BN172,96,49341132,45934005,93.09,6.69,0.05,0.13,0
96_6_Gm_JS659,Soybean,JS659,96,42278927,39496183,93.42,6.41,0.06,0.08,0
96_6_Gm_MNSS6,Soybean,MNSS6,96,38190855,35553765,93.09,6.7,0.04,0.13,0
96_6_Gm_SSPotter,Soybean,SSPotter,96,39683122,37071319,93.42,6.29,0.03,0.21,0
96_6_Gm_WISS47,Soybean,WISS47,96,35067063,32832337,93.63,6.18,0.05,0.11,0
96_6_Gm_Xtra7,Soybean,Xtra7,96,34063347,31915718,93.7,6.12,0.04,0.11,0
